block,inflation,stakingRatio,annualProvision,blockProvision
0.0,0.1,0.6,100000000.0,15.844043907014475
52596.0,0.10027480820872592,0.6,100358513.47421747,15.900846939282054
105192.0,0.1005494814170094,0.6,100717658.03753655,15.957749961583984
157788.0,0.10082401936828206,0.6,101077429.27241752,16.01475227400333
210384.0,0.10109842180699151,0.6,101437829.5773644,16.07185425656013
262980.0,0.10137268847860195,0.6,101798861.35637476,16.129056290144806
315576.0,0.1016468191295942,0.6,102160527.01895924,16.186358756521287
368172.0,0.1019208135074678,0.6,102522828.98016942,16.243762038331404
420768.0,0.10219467136073987,0.6,102885769.66061433,16.30126651909751
473364.0,0.10246839243894736,0.6,103249351.4864854,16.35887258322645
