block,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49
0.0,104679188.31353983,51091901.33513646,43120926.15960464,39587179.051788196,19252191.415985465,16514819.03877659,16229323.05973996,12661171.387439864,12510135.255719662,9959696.46492764,9730528.88317617,9499550.228835767,8756232.897669254,8201601.482148083,8032029.354728636,7561335.631099761,7437756.735683396,6323117.2532381,5568553.824591123,5513826.014088071,5275238.595673066,5132131.402930857,4908842.320260143,4551223.185729207,4439628.108911669,4091215.8040289734,3971402.2175885686,3737619.122684019,3697553.1605108054,3615196.151643077,3600995.817277844,3540907.4689686513,3484165.594002497,3483042.148369755,3381543.9380297447,3358596.354685384,3230873.1626347126,2887484.5911068395,2778401.5253761318,2628247.0760316863,2614762.1878876705,2462155.213092655,2403474.6055019842,2344172.5393418977,2197035.3699042336,2064736.4110306932,2063932.8916088121,1971367.3249120507,1963778.765824685,1889213.1565348806
52596.0,104768303.15513708,51127613.050524764,43148594.76224984,39611546.83343035,19255896.880984355,16515692.36750025,16229800.148526816,12658072.744998166,12507113.409374185,9954233.80284618,9724493.3728892,9493698.130283905,8749365.77153027,8194033.796724209,8024291.736968058,7553413.350229329,7429518.289291882,6314200.447076139,5558696.383052934,5503822.117779306,5265389.595643331,5136491.202122904,4912989.5495469775,4555029.963684583,4443328.649004433,4094584.6576383384,3974657.0093620694,3740651.3543138895,3700547.249578233,3618111.837318141,3603897.9843173376,3543752.4322508327,3486956.539350483,3485832.0242040437,3384237.1881594113,3361267.758849446,3233422.975064377,2889707.499618128,2780520.587444666,2630223.1919397064,2616725.466260772,2463973.210515307,2405236.7393282712,2345878.2179468703,2198600.9747815733,2066176.068058111,2065371.7836904107,1972718.095113731,1965122.311762348,1890485.7164471452
105192.0,104857847.61447224,51163527.86665894,43176432.25388402,39636069.715542175,19259669.422179587,16516620.65930028,16230330.412205733,12655012.09138767,12504130.096267855,9948799.417957084,9718483.378610441,9487872.723573469,8742520.76801441,8186485.12018842,8016572.406397552,7545508.846869615,7421296.093679532,6305297.430334614,5548848.559606637,5493827.129934317,5255550.538821429,5140871.5049255155,4917156.3903721385,4558854.9244378125,4447046.926056484,4097969.8562492793,3977927.667464406,3743698.518275184,3703556.1109077334,3621041.9662270355,3606814.537858296,3546611.541972832,3489761.4044461735,3488635.8152977293,3386943.9480485152,3363952.5810939195,3235985.6953018066,2891941.944049844,2782650.7496309513,2632209.808076682,2618699.1909886906,2465801.044605765,2407008.475384797,2347593.261861698,2200175.3571343985,2067623.9740074566,2066818.9214837821,1974076.7412142875,1966473.7032814783,1891765.8240404432
157788.0,104947822.74917275,51199646.24569557,43204439.005859934,39660748.035151236,19263509.1417408,16517603.983596308,16230913.914523173,12651989.450259294,12501185.34346276,9943393.311239112,9712498.89106138,9482074.006116934,8735697.870135613,8178955.426084999,8008871.334653182,7537622.093792653,7413090.115924708,6296408.167386204,5539010.306016419,5483840.999651927,5245721.38044438,5145272.363247784,4921342.8923861105,4562698.114022335,4450782.984972547,4101371.441242419,3981214.232064418,3746760.6523721064,3706579.781898387,3623986.5749358023,3609745.514323057,3549484.833949142,3492580.2245303136,3491453.5568801453,3389664.2518995116,3366650.8553893655,3238561.3560256525,2894187.953607502,2784792.0400371994,2634206.9510259973,2620683.388518519,2467638.7402675636,2408789.837981545,2349317.694796604,2201758.5391846807,2069080.149762565,2068274.3258645989,1975443.283153158,1967832.960244773,1893053.4984232688
210384.0,105038229.6203755,51235968.65138477,43232615.39082906,39685582.13048062,19267416.14226409,16518642.41012544,16231550.719520599,12649004.845430579,12498279.178205527,9938015.483775437,9706539.90102233,9476301.975422695,8728897.060946839,8171444.6879572645,8001188.493368135,7529753.063781545,7404900.323091527,6287532.62259573,5529181.5739919795,5473863.675964301,5235902.0757164,5149693.829157742,4925549.105391403,4566559.578612504,4454536.87079477,4104789.454125097,3984516.743453911,3749837.794524625,3709618.3000634448,3626945.7001222884,3612690.950245453,3552372.3441040087,3495413.034951342,3494285.2842883826,3392398.1340199034,3369362.615810345,3241149.990014656,2896445.557586052,2786944.486851612,2636214.6474524853,2622678.0853782375,2469486.322480375,2410580.851502853,2351051.540534307,2203350.543222383,2070544.6162711515,2069738.0177724508,1976817.7409307864,1969200.1025757128,1894348.7587625752
262980.0,105129069.29273391,51272495.549072586,43260961.78274362,39710572.34095109,19271390.52677262,16519736.008942438,16232240.891535105,12646058.300884975,12495411.627927355,9932665.936753325,9700606.399333106,9470556.629094167,8722118.32354008,8163952.879353597,7993523.854173008,7521901.729630219,7396726.682230017,6278670.760320451,5519362.315188112,5463895.107836815,5226092.579808634,5154135.95488217,4929775.079342942,4570439.364523799,4458308.628703026,4108223.936531568,3987835.242047767,3752929.9827685505,3712671.7030311152,3629919.3785765106,3615650.8822709913,3555274.108471473,3498259.8711659117,3497131.0329676284,3395145.6288219243,3372087.896535641,3243751.6301477803,2898714.785369976,2789108.1183485794,2638232.924102526,2624683.30817699,2471343.816300339,2412381.540407806,2352794.82293031,2204951.3916056408,2072017.3945450194,2071210.0182109491,1978200.134608786,1970575.1502586612,1895651.624283934
315576.0,105220342.83442065,51309227.405707605,43289478.55685984,39735719.00718547,19275432.398717612,16520884.850420931,16232984.49520007,12643149.840771908,12492582.720245037,9927344.671464624,9694698.376892334,9464837.964830358,8715361.641046736,8156479.97382562,7985877.388695424,7514068.064143775,7388569.160375801,6269822.544910016,5509552.481204363,5453935.244167924,5216292.847858964,5158598.792807875,4934020.864348068,4574337.518213191,4462098.304015135,4111674.9302232456,3991169.768384425,3756037.255255971,3715740.0285444846,3632907.647200865,3618625.3471571123,3558190.1631956114,3501120.7687389064,3499990.8384713125,3397906.7708229995,3374826.7318483437,3246366.3094044416,2900995.6664334857,2791282.962888847,2640261.807804123,2626699.083605137,2473211.2468601214,2414191.9292299813,2354547.5659128344,2206561.106760874,2073498.5056601188,2072690.3482478408,1979590.484310065,1971958.1233390416,1896962.1142716405
368172.0,105312051.31715469,51346164.68984121,43318166.08974077,39761022.47100974,19279541.861979976,16522089.005253928,16233781.595445888,12640279.489407439,12489792.48296098,9922051.689306103,9688815.824657992,9459145.980425896,8708626.996637499,8149025.944928265,7978249.068560246,7506252.040138098,7380427.724550248,6260987.940706467,5499752.023585181,5443984.033788933,5206502.834972326,5163082.395481417,4938286.510667135,4578254.086279421,4465905.942187292,4115142.4770889753,3994520.363126023,3759159.650255355,3718823.314461818,3635910.5430104253,3621614.381773452,3561120.544530822,3503995.7633437547,3502864.736461362,3400681.5946458364,3377579.1561362403,3248994.0608646884,2903288.2303407453,2793469.048919722,2642301.325467234,2628725.438434547,2475088.6393690854,2416012.042577937,2356309.7934832936,2208179.711182927,2074987.9707568453,2074179.0290151895,1980988.8102189205,1973349.041923473,1898280.2480688451
