block,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9
0.0,115434385.57644825,72230523.13647638,68073294.38718899,60471917.80788473,41520519.84999925,31172881.33428364,31133516.82145505,30465974.773939937,25261209.48891529,24235776.823408563
52596.0,115534258.37412041,72287107.815938,68125713.73051192,60516720.950494215,41546334.63581073,31188328.30151508,31148924.34740505,30480713.45600834,25270733.255413756,24244273.15745213
105192.0,115634566.17755263,72343958.74493538,68178383.08504872,60561744.412999965,41572295.71650808,31203881.145291857,31164437.596141193,30495555.253413476,25280339.807202358,24252848.27139988
157788.0,115735309.84943533,72401076.4230449,68231302.91543646,60606988.59615198,41598403.33356146,31219540.020116143,31180056.72183452,30510500.314715993,25290029.24909759,24261502.26144997
210384.0,115836490.25546287,72458461.35165636,68284473.68800929,60652453.902187206,41624657.7294051,31235305.081167813,31195781.879332718,30525548.789135147,25299801.686430648,24270235.224286485
262980.0,115938108.2643429,72516114.03398001,68337895.8708013,60698140.734833896,41651059.14743875,31251176.48430626,31211613.22416271,30540700.82655022,25309657.22504873,24279047.257082175
315576.0,116040164.74780028,72574034.975029,68391569.93355303,60744049.49931285,41677607.83202997,31267154.386072695,31227550.91253079,30555956.577501606,25319595.9713159,24287938.457497295
368172.0,116142660.5805872,72632224.68165836,68445496.34771204,60790180.60234262,41704304.02851794,31283238.94368951,31243595.10132479,30571316.193192646,25329618.03211451,24296908.92368216
