block,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49
0.0,157640918.48153785,33018448.061716754,30008464.7499692,20540835.59091265,16455566.219498487,15329237.025144886,14522588.404996486,13996034.257984122,12428167.130117856,12415227.852063604,11242811.03234532,10232743.083589973,8705446.582277425,8616070.518345939,8615417.282888293,7727291.866798826,6311114.275935859,5293857.055463739,5186522.455997408,5173628.487338217,4723688.2386920005,4594322.675037659,4331809.442702884,4236861.176371782,4067008.820668287,4002930.4101665188,3868961.3956635976,3866117.8116488056,3694339.072993458,3692094.54021496,3606223.7287753536,3554428.009944151,3524306.1004522056,3455645.3195132334,3314032.203663896,2956583.995261544,2816564.7626544256,2651865.7689976604,2651632.7435053466,2631278.985887317,2614452.836434558,2603944.496175678,2579940.811608459,2437777.076579191,2396642.648571965,2361343.076742479,2340663.774210924,2324545.0216023424,2324270.7787529943,2315333.861583233
52596.0,157678141.01976398,33035581.786088873,30017949.544457544,20546023.6361873,16458513.61466579,15331524.391875457,14526848.718540942,13999784.292478848,12428575.331453156,12417926.858119246,11244184.813322935,10233350.06645295,8704005.859448303,8613587.102059523,8615293.845052749,7722070.045243347,6304875.401798056,5288275.034048735,5181317.726427839,5166486.37053441,4717072.938477097,4600670.511679721,4338371.791921145,4239700.85318853,4070827.8855255004,4008042.9133282625,3875515.1328125503,3869868.5347119956,3698319.893051146,3695118.171175538,3611032.8912558844,3558517.855850297,3529053.0316191935,3461272.509312854,3318276.7793511315,2960896.0092955795,2818675.133251912,2655075.1843182854,2654525.4158127164,2635457.622087127,2614761.288054668,2605855.8522434407,2582994.1628311696,2439532.8984102053,2399228.9860428707,2363861.491478765,2344420.925095787,2327458.0419179304,2327548.1139413286,2318020.107243482
105192.0,157715546.65599307,33052834.448901784,30027522.791295867,20551284.30623793,16461524.779580615,15333872.953322833,14531178.52508914,14003601.278583558,12429037.02272745,12420688.86113151,11245614.982595123,10234010.285346758,8702608.165081918,8611144.524344562,8615218.539460042,7716879.833971122,6298663.594267646,5282718.659505825,5176137.332806868,5159367.056770387,4710477.145459469,4607049.921854195,4344967.046725167,4242553.916740207,4074665.5748240054,4013181.0176982787,3882104.1551327864,3873637.797877147,3702320.8936298992,3698156.5981136262,3615866.7717638747,3562628.197796676,3533824.1828509527,3466931.755941406,3322544.122118598,2965230.482334279,2820796.1203991217,2658301.559955687,2657433.299798783,2639661.1903271894,2615072.6916409824,2607777.0234259027,2586063.8356677336,2441297.9090168253,2401829.143370001,2366393.452582807,2348199.4229814773,2330386.9952903516,2330843.10491362,2320721.0005208794
157788.0,157753135.59246847,33070206.24848487,30037184.616817575,20556617.706676792,16464599.80405649,15336282.79484898,14535577.937180575,14007485.320654074,12429552.273244625,12423513.959666066,11247101.616806367,10234723.810086535,8701253.534413122,8608742.821603896,8615191.418044701,7711721.255519101,6292478.863457969,5277187.913248627,5170981.243730959,5152270.542395589,4703900.812465207,4613461.002616833,4351595.310599645,4245420.394732242,4078521.936965801,4018344.800087207,3888728.590418499,3877425.650821759,3706342.133488071,3701209.8565478073,3620725.447965123,3566759.0941169653,3538619.6285990477,3472623.1877634064,3326834.3088655933,2969587.4850088814,2822927.747124236,2661544.94679548,2660356.4389839433,2643889.7949174214,2615387.0507956063,2609708.031012876,2589149.879626265,2443072.1283302526,2404443.1598860784,2368938.9988105064,2351999.3451816053,2333331.9317824515,2334155.807195464,2323436.5858458225
210384.0,157790908.03168654,33087697.383785974,30046935.14773408,20562023.943493947,16467738.778269907,15338754.002174294,14540047.067845933,14011436.52351728,12430121.152641064,12426402.252759548,11248644.793010835,10235490.710885445,8699942.002971455,8606382.030494083,8615212.533139568,7706594.332617534,6286321.219645105,5271682.776727096,5165849.427868279,5145196.823876181,4697343.892237689,4619903.851327182,4358256.687355434,4248300.3149347985,4082397.0204899786,4023534.3375444356,3895388.566901352,3881232.1433673496,3710383.671566527,3704277.9820907284,3625608.99777535,3570910.6033200836,3543439.4435478994,3478346.93364378,3331147.4167615185,2973967.08817317,2825070.036511967,2664805.3958813236,2663294.877019855,2648143.540609715,2615704.369124777,2611648.89634644,2592252.3443708695,2444855.5763306227,2407071.075041749,2371498.169034731,2355820.769274417,2336292.9016180444,2337486.2764874324,2326166.907788681
262980.0,157828864.1764131,33105308.054373603,30056774.511135757,20567503.123058412,16470941.792760592,15341286.661378542,14544586.03060843,14015454.992471639,12430743.730887359,12429353.83991977,11250244.588672435,10236311.058355028,8698673.606582046,8604062.187926255,8615281.937476873,7701499.088190543,6280190.673268707,5266203.231427776,5160741.853958889,5138145.897795683,4690806.337438565,4626378.565648823,4364951.281129944,4251193.705183,4086290.874072667,4028749.7073580036,3902084.213251012,3885057.3254799712,3714445.5669888435,3707361.010449483,3630517.4993604636,3575082.7840899043,3548283.7026155475,3484103.1229492123,3335483.523246412,2978369.3629040266,2827223.0117035857,2668082.9584152875,2666248.6576896734,2652422.53259932,2616024.6502389177,2613599.640820924,2595371.279721851,2446648.2730470425,2409712.9284058395,2374071.0022454727,2359663.7731030933,2339269.955182332,2340834.5686654774,2328912.0110599785
315576.0,157867004.22967315,33123038.460436523,30066702.834492862,20573055.352119368,16474208.938432401,15343880.858901119,14549194.939485142,14019540.833288029,12431420.078289121,12432368.82112814,11251901.081666496,10237184.923507053,8697448.381366652,8601783.331067234,8615399.68418962,7696435.5453569,6274087.2349326145,5260749.258874028,5155658.490815242,5131117.76085563,4684288.100647279,4632885.24355014,4371679.196388073,4254100.593377257,4090203.5465274975,4033990.9870558376,3908815.6585757835,3888901.2472701636,3718527.879061709,3710458.977425761,3635451.031137246,3579275.695285961,3553152.480953161,3489891.885548832,3339842.7060316866,2982794.3805016456,2829386.69589699,2671377.6857580408,2669217.82490827,2656726.8765259455,2616347.8977525956,2615560.285883022,2598506.735656051,2448450.2385576456,2412368.7596655367,2376657.537549983,2363528.434776248,2342263.1430222387,2344200.739781085,2331671.94051093
368172.0,157905328.39475176,33140888.802786693,30076720.245655958,20578680.737805154,16477540.306554273,15346536.68154255,14553873.908988254,14023694.152211437,12432150.265487706,12435447.296840137,11253614.350280872,10238112.377754118,8696266.363744633,8599545.497339318,8615565.826812567,7691403.727431135,6268010.915405737,5255320.840626078,5150599.307323112,5124112.409876231,4677789.134361598,4639423.98330466,4378440.537922344,4257021.007482964,4094135.086805677,4039258.2544056163,3915583.0324233104,3892763.9589934,3722630.6672753184,3713571.918915914,3640409.6717736367,3583489.3959436566,3558045.8539465964,3495713.351815327,3344225.043100543,2987242.2124899537,2831561.112346807,2674689.6294292505,2672202.422722574,2661056.678474956,2616674.1152845714,2617530.853031952,2601658.7623072388,2450261.4929896556,2415038.6086265855,2379257.81417302,2367414.8326682737,2345272.515846493,2347584.846061616,2334446.7411333174
