block,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49
0.0,104679188.31353983,51091901.33513646,43120926.15960464,39587179.051788196,19252191.415985465,16514819.03877659,16229323.05973996,12661171.387439864,12510135.255719662,9959696.46492764,9730528.88317617,9499550.228835767,8756232.897669254,8201601.482148083,8032029.354728636,7561335.631099761,7437756.735683396,6323117.2532381,5568553.824591123,5513826.014088071,5275238.595673066,5132131.402930857,4908842.320260143,4551223.185729207,4439628.108911669,4091215.8040289734,3971402.2175885686,3737619.122684019,3697553.1605108054,3615196.151643077,3600995.817277844,3540907.4689686513,3484165.594002497,3483042.148369755,3381543.9380297447,3358596.354685384,3230873.1626347126,2887484.5911068395,2778401.5253761318,2628247.0760316863,2614762.1878876705,2462155.213092655,2403474.6055019842,2344172.5393418977,2197035.3699042336,2064736.4110306932,2063932.8916088121,1971367.3249120507,1963778.765824685,1889213.1565348806
52596.0,104768351.21925832,51127338.515035376,43148371.771896094,39611081.787794255,19255706.630204607,16515589.808816636,16229807.596243184,12658078.554211657,12506890.996168904,9953895.177713798,9724497.83634283,9493287.606631633,8749225.037827883,8194037.558090458,8024295.420466402,7553129.78711104,7429426.993542215,6313669.992024801,5558350.050589695,5503567.370890812,5264740.748684258,5121490.079042304,4897977.130437896,4539999.452889532,4428292.492697461,4079530.8754121154,3959597.165855608,3725579.683894631,3685473.552251755,3603033.973611844,3588819.4022266907,3528670.8103353647,3471872.046905762,3470747.4749249755,3369147.5041614613,3346176.9139503893,3218325.668744072,2874592.8215254247,2765400.39092085,2615095.3992139986,2601596.991344613,2448837.015325848,2390097.5755304922,2330736.0541016953,2183451.36737649,2051019.7677471505,2050215.4427299774,1957557.0713301362,1949960.904079206,1875320.5365453183
105192.0,104858040.53620718,51163024.47318593,43176024.86522638,39635173.69667764,19259305.66277472,16516430.215022458,16230360.289772097,12655035.391598605,12503695.624723176,9948129.56491241,9718501.276616491,9487058.274845943,8742246.617316065,8186500.199845667,8016587.1734725,7544947.19175068,7421119.859773528,6304239.564294122,5548159.200716515,5493321.368279858,5254254.3061725795,5110859.418199894,4887121.446812515,4528783.373440352,4416963.951705375,4067851.216911166,3947796.7634905307,3713543.683254943,3673397.1745627387,3590874.5994631643,3576645.7174869324,3516436.5706987954,3459580.6248289864,3458454.9206796903,3356752.6636356493,3333758.9476675782,3205778.987578368,2861700.0855903397,2752397.7249581898,2601941.4129464272,2588429.415487191,2435515.6475956817,2376717.0715745627,2317295.7876360193,2169862.8213132005,2037297.8954939311,2036492.7607185033,1943741.1050381188,1936137.290307717,1861421.778209128
157788.0,104948258.32138176,51198960.13774925,43203886.19984588,39659455.46424804,19262988.77114383,16517340.457178017,16230981.334096558,12652042.01820686,12500549.256806152,9942399.688221948,9712539.260868115,9480862.285484083,8735297.672481041,8178989.432077294,8008904.634838459,7536787.856194896,7412835.342950243,6294825.955138728,5537981.2441686,5483087.974299927,5243779.23115687,5100239.380407882,4876275.224684507,4517574.895148934,4405642.43135192,4056176.7666031723,3936000.9460464856,3701511.0513933585,3661323.9572280957,3578717.957246597,3564474.6908089328,3504204.6765435515,3447291.253061529,3446164.410899583,3344359.33957989,3321342.378481153,3193233.0390912495,2848806.296021726,2739393.437910337,2588785.0244881436,2575259.367290473,2422191.0136626707,2363332.9961584057,2303851.64121999,2156269.6298899064,2023570.6896596334,2022764.7409460477,1929919.3194577845,1922307.817772093,1847516.7732174734
210384.0,105039006.64093351,51235146.44099698,43231956.53936432,39683927.77934335,19266756.21387058,16518320.73592074,16231670.923813216,12649098.55313205,12497452.008318424,9936705.609576626,9706611.846182952,9474699.69074384,8728378.239792278,8171505.2795190625,8001247.825710051,7528651.791629791,7404573.451643617,6285429.149544727,5527816.149967011,5472867.156812889,5233315.48645054,5089629.925451587,4865438.419114705,4506373.965508873,4394327.876769411,4044507.4622482248,3924209.6487483364,3689481.7185880058,3649253.8296782305,3566563.974649885,3552306.249580051,3491975.0539854774,3435003.856518648,3433875.870476051,3331967.4547379212,3308927.128649456,3180687.742838352,2835911.3651092807,2726387.4397588666,2575626.1406434076,2562086.7532735765,2408863.0168167725,2349945.2513302793,2290403.5156470747,2142671.690786768,2009838.0451250935,2009031.278276412,1916091.607494247,1908472.3792169052,1833605.412737183
262980.0,105130287.57020554,51271584.31932539,43260236.65076219,39708591.33383779,19270608.250628952,16519371.252743954,16232429.254347475,12646205.115962202,12494403.995637631,9931047.391147071,9700719.089860741,9468570.543016285,8721488.355841855,8164047.766975114,7993616.767286475,7520539.009251026,7396334.194422787,6276049.132390633,5517663.886952159,5462658.883496487,5222863.034660559,5079031.012896259,4854610.984922522,4495180.5317388065,4383020.232804525,4032843.241287934,3912422.806491177,3677455.6147651942,3637186.720987785,3554412.578997036,3540140.3208225635,3479747.628769918,3422718.359739569,3421589.2239245046,3319576.931467888,3296513.1200427255,3168143.017975496,2823015.20471024,2713379.640042806,2562464.667760079,2548911.479497367,2395531.559875422,2336553.7386603695,2276951.3112271293,2129068.9011863717,1996099.8562609884,1995292.2670632305,1902257.8615337627,1894630.866867128,1819687.5874083438
315576.0,105222103.19376317,51308274.71327066,43288727.30440459,39733446.82265453,19274545.142211314,16520492.210000072,16233256.52195657,12643361.826778281,12491405.335620273,9925425.095340654,9694861.049416399,9462474.894884106,8714628.057344532,8156616.919319247,7986011.480822698,7512449.520263569,7388117.579854433,6266685.888446705,5507524.423785189,5452463.121843643,5212421.838186037,5068442.602085934,4843792.876684962,4483994.540780985,4371719.444017212,4021184.040843844,3900640.3538386654,3665432.6694975193,3625122.5598741597,3542263.6972475853,3527976.8311924646,3467522.326269928,3410434.686886045,3409304.39538271,3307187.691740798,3284100.2741420167,3155598.7832568893,2810117.7262482294,2700369.9478564668,2549300.511726773,2535733.4515627916,2382196.5451814733,2323158.35923905,2263494.927784175,2115461.1577715543,1982356.0169257477,1981547.6011477376,1888417.9734413982,1880783.1724258037,1805763.187342128
368172.0,105314455.60543744,51345218.56752401,43317429.27405058,39758494.94377468,19278567.150531754,16521683.810903069,16234152.92373235,12640568.80615617,12488456.145603394,9919838.784802113,9689037.782580318,9456412.79912519,8707797.381138016,8149212.761495372,7978431.98762568,7504383.335881334,7379923.616502394,6257339.40237434,5497397.728946434,5442279.839161003,5201991.859217444,5057864.652142262,4832984.04873539,4472815.939299906,4360425.454678867,4009529.797716025,3888862.2250215597,3653412.8120024092,3613061.27469553,3530117.255993474,3515815.7069774093,3455299.071484638,3398152.761740361,3397021.3086089278,3294799.657138266,3271688.512036921,3143054.9570332407,2797218.8407100313,2687358.2718477696,2536133.5779713555,2522552.574608518,2368857.8746010764,2309759.0136739933,2250034.264654384,2101848.3567233183,1968606.4204632044,1967797.1738565224,1874571.8345587598,1866929.1870718214,1791832.1021184556
