block,inflation,stakingRatio,annualProvision,blockProvision
0.0,0.1,0.6,100000000.0,15.844043907014475
52596.0,0.10027480820872592,0.6,100358513.47421747,15.900846939282054
105192.0,0.1005494814170094,0.6,100717658.03753655,15.957749961583984
157788.0,0.10082401936828206,0.6,101077429.27241752,16.01475227400333
210384.0,0.10109842180699151,0.6,101437829.5773644,16.07185425656013
262980.0,0.10137268847860195,0.6,101798861.35637476,16.129056290144806
315576.0,0.1016468191295942,0.6,102160527.01895924,16.186358756521287
368172.0,0.1019208135074678,0.6,102522828.98016942,16.243762038331404
420768.0,0.10219467136073987,0.6,102885769.66061433,16.30126651909751
473364.0,0.10246839243894736,0.6,103249351.4864854,16.35887258322645
525960.0,0.10274197649264782,0.6,103613576.88958173,16.416580616013533
578556.0,0.10301542327341767,0.6,103978448.30732837,16.474391003645458
631152.0,0.10328873253385651,0.6,104343968.18280217,16.53230413320439
683748.0,0.1035619040275862,0.6,104710138.96475402,16.590320392671497
736344.0,0.10383493750925024,0.6,105076963.10763167,16.648440170930563
788940.0,0.10410783273451663,0.6,105444443.0716012,16.706663857771375
841536.0,0.1043805894600762,0.6,105812581.32257219,16.764991843893736
894132.0,0.10465320744364551,0.6,106181380.33222038,16.82342452091103
946728.0,0.10492568644396613,0.6,106550842.57801135,16.881962281353992
999324.0,0.10519802622080465,0.6,106920970.54321815,16.940605518673497
1051920.0,0.10547022653495494,0.6,107291766.7169542,16.999354627245765
1104516.0,0.10574228714823802,0.6,107663233.59419101,17.058210002375183
1157112.0,0.10601420782350189,0.6,108035373.67578161,17.117172040297994
1209708.0,0.10628598832462335,0.6,108408189.4684855,17.176241138186285
1262304.0,0.10655762841650661,0.6,108781683.48499116,17.235417694151515
1314900.0,0.10682912786508825,0.6,109155858.24394287,17.29470210724879
1367496.0,0.10710048643732761,0.6,109530716.26995462,17.35409477747906
1420092.0,0.10737170390122043,0.6,109906260.09364758,17.41359610579505
1472688.0,0.10764278002579078,0.6,110282492.25166379,17.473206494103447
1525284.0,0.10791371458109437,0.6,110659415.28669874,17.532926345270038
1577880.0,0.10818450733821731,0.6,111037031.74751477,17.592756063121843
1630476.0,0.10845515806927795,0.6,111415344.18897262,17.65269605245212
1683072.0,0.10872566654742777,0.6,111794355.17205393,17.712746719023933
1735668.0,0.10899603254684913,0.6,112174067.26388405,17.77290846957374
1788264.0,0.10926625584275959,0.6,112554483.03775908,17.83318171181571
1840860.0,0.10953633621140808,0.6,112935605.0731669,17.89356685444503
1893456.0,0.1098062734300786,0.6,113317435.95581323,17.954064307142055
1946052.0,0.11007606727708857,0.6,113699978.27764806,18.01467448057648
1998648.0,0.1103457175317907,0.6,114083234.63688387,18.075397786410225
2051244.0,0.11061522397457198,0.6,114467207.63802926,18.136234637302785
2103840.0,0.11088458638685285,0.6,114851899.89190449,18.197185446913657
2156436.0,0.11115380455109153,0.6,115237314.01567508,18.258250629907707
2209032.0,0.11142287825078079,0.6,115623452.63286948,18.319430601957926
2261628.0,0.11169180727044897,0.6,116010318.37340766,18.38072577974999
2314224.0,0.11196059139566122,0.6,116397913.87362432,18.44213658098593
2366820.0,0.11222923041301834,0.6,116786241.77629614,18.503663424388442
2419416.0,0.11249772411015733,0.6,117175304.73066399,18.56530672970441
2472012.0,0.11276607227575394,0.6,117565105.392462,18.62706691770952
2524608.0,0.1130342746995196,0.6,117955646.42393883,18.68894441021162
2577204.0,0.11330233117220151,0.6,118346930.49388433,18.750939630054937
2629800.0,0.11357024148558581,0.6,118738960.27765554,18.81305300112422
2682396.0,0.11383800543249632,0.6,119131738.45720421,18.875284948349083
2734992.0,0.11410562280679337,0.6,119525267.72109728,18.937635897707253
2787588.0,0.11437309340337633,0.6,119919550.76454835,19.000106276229552
2840184.0,0.11464041701818058,0.6,120314590.28943759,19.062696512003065
2892780.0,0.11490759344818091,0.6,120710389.00434516,19.12540703417642
2945376.0,0.11517462249138938,0.6,121106949.62456295,19.188238272961655
2997972.0,0.11544150394685684,0.6,121504274.87213968,19.251190659641367
3050568.0,0.115708237614672,0.6,121902367.47589362,19.31426462657072
3103164.0,0.1159748232959608,0.6,122301230.17144226,19.377460607182144
3155760.0,0.1162412607928884,0.6,122700865.70122874,19.440779035989546
3208356.0,0.11650754990865848,0.6,123101276.8145488,19.504220348592543
3260952.0,0.11677369044751139,0.6,123502466.26757337,19.567784981680067
3313548.0,0.11703968221472898,0.6,123904436.82338399,19.63147337303597
3366144.0,0.11730552501662782,0.6,124307191.2519866,19.695285961541213
3418740.0,0.11757121866056504,0.6,124710732.33034964,19.75922318717989
3471336.0,0.11783676295493359,0.6,125115062.84242076,19.823285491041897
3523932.0,0.11810215770916589,0.6,125520185.57916272,19.88747331532859
3576528.0,0.11836740273373367,0.6,125926103.33857557,19.951787103356335
3629124.0,0.11863249784014489,0.6,126332818.92572486,20.01622729956094
3681720.0,0.11889744284094568,0.6,126740335.15276664,20.080794349501648
3734316.0,0.11916223754972077,0.6,127148654.838976,20.14548869986564
